year,ev_threshold,odds_bucket,bet_count,hit_rate,avg_odds,mean_clv,roi,sample_flag
2025,0.0,favorite,317,0.615,1.455,0.0599,-0.1341,
2025,0.0,balanced,133,0.466,2.047,0.0793,-0.0455,
2025,0.0,underdog,451,0.284,4.711,0.0883,-0.0121,
2025,0.01,favorite,278,0.619,1.448,0.0676,-0.1329,
2025,0.01,balanced,122,0.459,2.044,0.0859,-0.0611,
2025,0.01,underdog,412,0.277,4.749,0.0961,-0.0527,
2025,0.02,favorite,235,0.591,1.472,0.0773,-0.1501,
2025,0.02,balanced,113,0.442,2.045,0.0915,-0.0945,
2025,0.02,underdog,382,0.275,4.681,0.1026,-0.0415,
2025,0.03,favorite,206,0.587,1.471,0.0846,-0.1597,
2025,0.03,balanced,104,0.423,2.047,0.0972,-0.1307,
2025,0.03,underdog,348,0.276,4.206,0.1102,-0.0384,
2025,0.05,favorite,155,0.594,1.481,0.0993,-0.1493,
2025,0.05,balanced,84,0.417,2.052,0.1106,-0.1388,
2025,0.05,underdog,299,0.298,3.924,0.1218,0.0423,
2026,0.0,favorite,124,0.597,1.495,0.0658,-0.126,
2026,0.0,balanced,43,0.372,2.081,0.0736,-0.2249,
2026,0.0,underdog,159,0.258,4.893,0.0869,-0.2052,
2026,0.01,favorite,110,0.6,1.505,0.0735,-0.11,
2026,0.01,balanced,41,0.366,2.075,0.0768,-0.2407,
2026,0.01,underdog,147,0.245,5.011,0.0935,-0.239,
2026,0.02,favorite,99,0.596,1.509,0.0799,-0.1104,
2026,0.02,balanced,38,0.395,2.075,0.0816,-0.1808,
2026,0.02,underdog,134,0.231,5.086,0.1011,-0.2769,
2026,0.03,favorite,91,0.582,1.522,0.0847,-0.1201,
2026,0.03,balanced,35,0.4,2.073,0.0865,-0.1734,
2026,0.03,underdog,116,0.241,4.802,0.1129,-0.2925,
2026,0.05,favorite,67,0.552,1.544,0.1004,-0.1516,
2026,0.05,balanced,25,0.36,2.078,0.1048,-0.2516,
2026,0.05,underdog,90,0.267,3.71,0.1344,-0.214,
