year,ev_threshold,surface,bet_count,hit_rate,avg_odds,mean_clv,roi,sample_flag
2025,0.0,Hard,520,0.433,3.155,0.0773,-0.0826,
2025,0.0,Clay,270,0.43,3.139,0.0764,-0.0109,
2025,0.0,Grass,111,0.396,3.333,0.0766,-0.0732,
2025,0.01,Hard,466,0.423,3.194,0.0857,-0.1251,
2025,0.01,Clay,247,0.429,3.178,0.0831,0.0174,
2025,0.01,Grass,99,0.394,3.387,0.0852,-0.1225,
2025,0.02,Hard,418,0.402,3.297,0.0939,-0.1364,
2025,0.02,Clay,223,0.404,3.245,0.0905,0.0043,
2025,0.02,Grass,89,0.404,2.961,0.0931,-0.0645,
2025,0.03,Hard,376,0.399,2.989,0.1015,-0.1295,
2025,0.03,Clay,200,0.395,3.052,0.0981,-0.0079,
2025,0.03,Grass,82,0.39,2.997,0.099,-0.1171,
2025,0.05,Hard,311,0.405,2.878,0.1144,-0.0847,
2025,0.05,Clay,162,0.401,2.946,0.1116,0.0631,
2025,0.05,Grass,65,0.385,3.125,0.1144,-0.0931,
2026,0.0,Hard,238,0.408,3.262,0.0741,-0.1732,
2026,0.0,Clay,88,0.386,3.141,0.0852,-0.1898,
2026,0.0,Grass,0,,,,,LOW_SAMPLE
2026,0.01,Hard,217,0.396,3.35,0.0808,-0.1875,
2026,0.01,Clay,81,0.383,3.213,0.0921,-0.2027,
2026,0.01,Grass,0,,,,,LOW_SAMPLE
2026,0.02,Hard,196,0.388,3.384,0.0877,-0.209,
2026,0.02,Clay,75,0.387,3.287,0.0983,-0.1859,
2026,0.02,Grass,0,,,,,LOW_SAMPLE
2026,0.03,Hard,171,0.398,3.219,0.0969,-0.2229,
2026,0.03,Clay,71,0.38,3.066,0.1025,-0.1804,
2026,0.03,Grass,0,,,,,LOW_SAMPLE
2026,0.05,Hard,129,0.403,2.713,0.1154,-0.1822,
2026,0.05,Clay,53,0.34,2.628,0.1237,-0.2304,
2026,0.05,Grass,0,,,,,LOW_SAMPLE
