prob_source,wf_period,odds_bucket,bet_count,hit_rate,avg_odds,actual_win_rate,mean_model_prob,mean_market_prob,mean_clv,calibration_error,brier,log_loss,roi
raw_model,all,favorite,239,0.698745,1.437479,0.698745,0.694131,0.710931,-0.0168,0.004614,0.208219,0.607378,-0.019403
raw_model,all,balanced,68,0.5,1.972205,0.5,0.537486,0.509084,0.028402,0.037486,0.25279,0.699737,-0.02683
raw_model,all,underdog,250,0.28,5.26358,0.28,0.369205,0.305565,0.06364,0.089205,0.204381,0.590692,-0.144117
raw_model,train,favorite,125,0.768,1.425475,0.768,0.706504,0.716593,-0.010088,0.061496,0.183015,0.555121,0.073526
raw_model,train,balanced,37,0.540541,1.963538,0.540541,0.547283,0.511442,0.035841,0.006742,0.265629,0.726873,0.038422
raw_model,train,underdog,120,0.275,5.670678,0.275,0.370002,0.311943,0.05806,0.095002,0.201897,0.583607,-0.203001
raw_model,tune,favorite,72,0.638889,1.464459,0.638889,0.686543,0.697448,-0.010905,0.047654,0.238281,0.67316,-0.086924
raw_model,tune,balanced,18,0.388889,1.977074,0.388889,0.498298,0.507724,-0.009426,0.10941,0.238395,0.669471,-0.22552
raw_model,tune,underdog,71,0.309859,4.998196,0.309859,0.355804,0.298932,0.056872,0.045945,0.214916,0.61561,0.057477
raw_model,final,favorite,42,0.595238,1.426952,0.595238,0.670311,0.717193,-0.046881,0.075073,0.231694,0.650134,-0.180226
raw_model,final,balanced,13,0.538462,1.990133,0.538462,0.563865,0.504257,0.059608,0.025403,0.23618,0.66441,0.062564
raw_model,final,underdog,59,0.254237,4.754944,0.254237,0.383708,0.300574,0.083134,0.129471,0.196755,0.575117,-0.26695
artifact_model,all,favorite,239,0.698745,1.437479,0.698745,0.694131,0.710931,-0.0168,0.004614,0.208219,0.607378,-0.019403
artifact_model,all,balanced,68,0.5,1.972205,0.5,0.537486,0.509084,0.028402,0.037486,0.25279,0.699737,-0.02683
artifact_model,all,underdog,250,0.28,5.26358,0.28,0.369205,0.305565,0.06364,0.089205,0.204381,0.590692,-0.144117
artifact_model,train,favorite,125,0.768,1.425475,0.768,0.706504,0.716593,-0.010088,0.061496,0.183015,0.555121,0.073526
artifact_model,train,balanced,37,0.540541,1.963538,0.540541,0.547283,0.511442,0.035841,0.006742,0.265629,0.726873,0.038422
artifact_model,train,underdog,120,0.275,5.670678,0.275,0.370002,0.311943,0.05806,0.095002,0.201897,0.583607,-0.203001
artifact_model,tune,favorite,72,0.638889,1.464459,0.638889,0.686543,0.697448,-0.010905,0.047654,0.238281,0.67316,-0.086924
artifact_model,tune,balanced,18,0.388889,1.977074,0.388889,0.498298,0.507724,-0.009426,0.10941,0.238395,0.669471,-0.22552
artifact_model,tune,underdog,71,0.309859,4.998196,0.309859,0.355804,0.298932,0.056872,0.045945,0.214916,0.61561,0.057477
artifact_model,final,favorite,42,0.595238,1.426952,0.595238,0.670311,0.717193,-0.046881,0.075073,0.231694,0.650134,-0.180226
artifact_model,final,balanced,13,0.538462,1.990133,0.538462,0.563865,0.504257,0.059608,0.025403,0.23618,0.66441,0.062564
artifact_model,final,underdog,59,0.254237,4.754944,0.254237,0.383708,0.300574,0.083134,0.129471,0.196755,0.575117,-0.26695
