candidate,wf_period,selectable,status,description,removed_family,feature_count,edge_threshold,bet_count,hit_rate,avg_odds,actual_win_rate,mean_model_prob,mean_market_prob,mean_clv,calibration_error,brier,log_loss,roi
raw_model,tune,False,BASELINE,uncalibrated model probability baseline,,0,0.0,53,0.320755,5.571804,0.320755,0.386631,0.289951,0.096681,0.065877,0.224015,0.637666,0.128204
raw_model,final,False,BASELINE,uncalibrated model probability baseline,,0,0.0,48,0.25,5.184904,0.25,0.399476,0.287828,0.111648,0.149476,0.194431,0.56914,-0.277859
artifact_current,tune,False,DIAGNOSTIC_ONLY,current persisted artifact probability; not selectable because it may include global calibration fitted outside the walk-forward train period,,0,0.0,53,0.320755,5.571804,0.320755,0.386631,0.289951,0.096681,0.065877,0.224015,0.637666,0.128204
artifact_current,final,False,DIAGNOSTIC_ONLY,current persisted artifact probability; not selectable because it may include global calibration fitted outside the walk-forward train period,,0,0.0,48,0.25,5.184904,0.25,0.399476,0.287828,0.111648,0.149476,0.194431,0.56914,-0.277859
bucket_isotonic,tune,True,OK,"post-model isotonic calibration fit for buckets: favorite,underdog",,0,0.0,26,0.346154,3.539027,0.346154,0.357611,0.28777,0.069841,0.011457,0.226924,0.646298,0.18048
bucket_isotonic,final,True,OK,"post-model isotonic calibration fit for buckets: favorite,underdog",,0,0.0,24,0.25,3.805635,0.25,0.368035,0.271741,0.096294,0.118035,0.21034,0.612093,-0.139937
dog_isotonic,tune,True,OK,underdog-only isotonic calibration fit on train period,,0,0.0,26,0.346154,3.539027,0.346154,0.357611,0.28777,0.069841,0.011457,0.226924,0.646298,0.18048
dog_isotonic,final,True,OK,underdog-only isotonic calibration fit on train period,,0,0.0,24,0.25,3.805635,0.25,0.368035,0.271741,0.096294,0.118035,0.21034,0.612093,-0.139937
dog_cap_03,tune,True,OK,lower-cap underdog model probability at 0.30,,0,0.0,27,0.222222,8.257052,0.222222,0.265951,0.217442,0.048509,0.043729,0.176248,0.537191,0.020537
dog_cap_03,final,True,OK,lower-cap underdog model probability at 0.30,,0,0.0,25,0.12,7.482773,0.12,0.258386,0.203664,0.054721,0.138386,0.119894,0.404838,-0.543049
