prob_bin,bet_count,actual_win_rate,mean_model_prob,mean_market_prob,avg_odds,prob_source,wf_period,calibration_error
"[0.05, 0.1)",9,0.0,0.074,0.027485,48.555383,raw_model,all,0.074
"[0.1, 0.15)",6,0.0,0.129402,0.169235,7.470605,raw_model,all,0.129402
"[0.15, 0.2)",12,0.166667,0.175477,0.175056,7.642255,raw_model,all,0.00881
"[0.2, 0.25)",23,0.130435,0.229409,0.231275,4.723908,raw_model,all,0.098974
"[0.25, 0.3)",26,0.153846,0.273598,0.264194,4.102496,raw_model,all,0.119752
"[0.3, 0.35)",34,0.352941,0.325907,0.308571,3.583875,raw_model,all,0.027034
"[0.35, 0.4)",25,0.44,0.371489,0.334441,3.076818,raw_model,all,0.068511
"[0.4, 0.45)",37,0.405405,0.422356,0.354021,2.924456,raw_model,all,0.016951
"[0.45, 0.5)",35,0.257143,0.472227,0.354961,2.987656,raw_model,all,0.215084
"[0.5, 0.55)",22,0.272727,0.519215,0.384932,2.679858,raw_model,all,0.246488
"[0.55, 0.6)",14,0.428571,0.568565,0.383499,2.693109,raw_model,all,0.139993
"[0.6, 0.65)",5,0.2,0.619347,0.374083,2.710325,raw_model,all,0.419347
"[0.65, 0.7)",1,0.0,0.655878,0.364269,2.745223,raw_model,all,0.655878
"[0.7, 0.75)",1,1.0,0.704584,0.392344,2.54878,raw_model,all,0.295416
"[0.05, 0.1)",5,0.0,0.071383,0.023976,51.432937,raw_model,train,0.071383
"[0.1, 0.15)",3,0.0,0.131633,0.098562,10.521408,raw_model,train,0.131633
"[0.15, 0.2)",6,0.166667,0.173002,0.173833,8.15778,raw_model,train,0.006335
"[0.2, 0.25)",12,0.083333,0.230014,0.238248,4.553756,raw_model,train,0.146681
"[0.25, 0.3)",9,0.0,0.269712,0.254882,4.425931,raw_model,train,0.269712
"[0.3, 0.35)",19,0.473684,0.324329,0.320744,3.588207,raw_model,train,0.149355
"[0.35, 0.4)",11,0.272727,0.373596,0.353692,2.859521,raw_model,train,0.100869
"[0.4, 0.45)",16,0.5625,0.424891,0.360172,2.838363,raw_model,train,0.137609
"[0.45, 0.5)",17,0.176471,0.474215,0.384243,2.667765,raw_model,train,0.297744
"[0.5, 0.55)",9,0.222222,0.517896,0.398059,2.538772,raw_model,train,0.295674
"[0.55, 0.6)",10,0.4,0.568445,0.376796,2.750754,raw_model,train,0.168445
"[0.6, 0.65)",2,0.0,0.620539,0.39959,2.512779,raw_model,train,0.620539
"[0.7, 0.75)",1,1.0,0.704584,0.392344,2.54878,raw_model,train,0.295416
"[0.05, 0.1)",1,0.0,0.055702,0.009999,100.009901,raw_model,tune,0.055702
"[0.1, 0.15)",3,0.0,0.12717,0.239908,4.419803,raw_model,tune,0.12717
"[0.15, 0.2)",4,0.25,0.177472,0.186032,5.86109,raw_model,tune,0.072528
"[0.2, 0.25)",9,0.222222,0.229005,0.230416,4.815526,raw_model,tune,0.006782
"[0.25, 0.3)",8,0.375,0.277908,0.251849,4.215478,raw_model,tune,0.097092
"[0.3, 0.35)",8,0.0,0.327596,0.294776,3.58559,raw_model,tune,0.327596
"[0.35, 0.4)",10,0.7,0.367212,0.328038,3.113099,raw_model,tune,0.332788
"[0.4, 0.45)",10,0.4,0.421739,0.345998,3.002962,raw_model,tune,0.021739
"[0.45, 0.5)",7,0.285714,0.471692,0.372143,2.765267,raw_model,tune,0.185978
"[0.5, 0.55)",7,0.142857,0.521821,0.350806,3.01148,raw_model,tune,0.378964
"[0.55, 0.6)",2,0.5,0.565843,0.367703,2.787412,raw_model,tune,0.065843
"[0.6, 0.65)",2,0.5,0.617051,0.383584,2.618668,raw_model,tune,0.117051
"[0.05, 0.1)",3,0.0,0.08446,0.039161,26.607952,raw_model,final,0.08446
"[0.15, 0.2)",2,0.0,0.178914,0.15677,9.658009,raw_model,final,0.178914
"[0.2, 0.25)",2,0.0,0.227592,0.193303,5.332545,raw_model,final,0.227592
"[0.25, 0.3)",9,0.111111,0.273654,0.284479,3.678634,raw_model,final,0.162543
"[0.3, 0.35)",7,0.428571,0.32826,0.291296,3.570159,raw_model,final,0.100312
