odds_bin,bet_count,actual_win_rate,mean_model_prob,mean_market_prob,avg_odds,prob_source,wf_period
"[2.2, 3.0)",114,0.368421,0.448195,0.3963,2.541746,raw_model,all
"[3.0, 4.0)",65,0.292308,0.363352,0.294284,3.420501,raw_model,all
"[4.0, 6.0)",44,0.181818,0.305428,0.217878,4.648402,raw_model,all
"[6.0, 10.0)",13,0.076923,0.198956,0.14382,7.080368,raw_model,all
"[10.0, inf)",14,0.0,0.1117,0.044872,36.230639,raw_model,all
"[2.2, 3.0)",67,0.343284,0.444601,0.393471,2.560086,raw_model,train
"[3.0, 4.0)",24,0.291667,0.364144,0.287045,3.5062,raw_model,train
"[4.0, 6.0)",14,0.214286,0.25651,0.208513,4.864154,raw_model,train
"[6.0, 10.0)",6,0.0,0.199696,0.137828,7.433188,raw_model,train
"[10.0, inf)",9,0.0,0.12036,0.048368,34.67883,raw_model,train
"[2.2, 3.0)",24,0.375,0.447224,0.398991,2.522667,raw_model,tune
"[3.0, 4.0)",25,0.32,0.352756,0.296614,3.393695,raw_model,tune
"[4.0, 6.0)",15,0.266667,0.298288,0.222683,4.552283,raw_model,tune
"[6.0, 10.0)",6,0.166667,0.196626,0.147134,6.865236,raw_model,tune
"[10.0, inf)",1,0.0,0.055702,0.009999,100.009901,raw_model,tune
"[2.2, 3.0)",23,0.434783,0.459676,0.401734,2.508227,raw_model,final
"[3.0, 4.0)",16,0.25,0.378719,0.301499,3.333838,raw_model,final
"[4.0, 6.0)",15,0.066667,0.358223,0.221813,4.543152,raw_model,final
"[6.0, 10.0)",1,0.0,0.208502,0.159892,6.254237,raw_model,final
"[10.0, inf)",4,0.0,0.106215,0.045726,23.777393,raw_model,final
"[2.2, 3.0)",114,0.368421,0.448195,0.3963,2.541746,artifact_model,all
"[3.0, 4.0)",65,0.292308,0.363352,0.294284,3.420501,artifact_model,all
"[4.0, 6.0)",44,0.181818,0.305428,0.217878,4.648402,artifact_model,all
"[6.0, 10.0)",13,0.076923,0.198956,0.14382,7.080368,artifact_model,all
"[10.0, inf)",14,0.0,0.1117,0.044872,36.230639,artifact_model,all
"[2.2, 3.0)",67,0.343284,0.444601,0.393471,2.560086,artifact_model,train
"[3.0, 4.0)",24,0.291667,0.364144,0.287045,3.5062,artifact_model,train
"[4.0, 6.0)",14,0.214286,0.25651,0.208513,4.864154,artifact_model,train
"[6.0, 10.0)",6,0.0,0.199696,0.137828,7.433188,artifact_model,train
"[10.0, inf)",9,0.0,0.12036,0.048368,34.67883,artifact_model,train
"[2.2, 3.0)",24,0.375,0.447224,0.398991,2.522667,artifact_model,tune
"[3.0, 4.0)",25,0.32,0.352756,0.296614,3.393695,artifact_model,tune
"[4.0, 6.0)",15,0.266667,0.298288,0.222683,4.552283,artifact_model,tune
"[6.0, 10.0)",6,0.166667,0.196626,0.147134,6.865236,artifact_model,tune
"[10.0, inf)",1,0.0,0.055702,0.009999,100.009901,artifact_model,tune
"[2.2, 3.0)",23,0.434783,0.459676,0.401734,2.508227,artifact_model,final
"[3.0, 4.0)",16,0.25,0.378719,0.301499,3.333838,artifact_model,final
"[4.0, 6.0)",15,0.066667,0.358223,0.221813,4.543152,artifact_model,final
"[6.0, 10.0)",1,0.0,0.208502,0.159892,6.254237,artifact_model,final
"[10.0, inf)",4,0.0,0.106215,0.045726,23.777393,artifact_model,final
