year,table,bin,n,mean_pred,actual_rate
2025,raw,"(-0.001, 0.1]",12,0.09138961666666667,0.0
2025,raw,"(0.1, 0.2]",204,0.16207551275490195,0.16666666666666666
2025,raw,"(0.2, 0.3]",717,0.25817921005578803,0.2301255230125523
2025,raw,"(0.3, 0.4]",1198,0.3518726267612688,0.3580968280467446
2025,raw,"(0.4, 0.5]",1521,0.45045430001972386,0.4181459566074951
2025,raw,"(0.5, 0.6]",1689,0.5495460601716993,0.5464772054470101
2025,raw,"(0.6, 0.7]",1521,0.6486085382117028,0.6265614727153189
2025,raw,"(0.7, 0.8]",1125,0.7448152809333334,0.7404444444444445
2025,raw,"(0.8, 0.9]",492,0.8455618859349593,0.8475609756097561
2025,raw,"(0.9, 1.0]",73,0.915960141780822,0.958904109589041
2026,raw,"(-0.001, 0.1]",3,0.090865162,0.0
2026,raw,"(0.1, 0.2]",68,0.16150543852941177,0.14705882352941177
2026,raw,"(0.2, 0.3]",278,0.2557599607553957,0.19424460431654678
2026,raw,"(0.3, 0.4]",454,0.3544655131057269,0.27312775330396477
2026,raw,"(0.4, 0.5]",561,0.4517086852762923,0.42245989304812837
2026,raw,"(0.5, 0.6]",626,0.5494774810543132,0.4968051118210863
2026,raw,"(0.6, 0.7]",540,0.6481068150185185,0.6666666666666666
2026,raw,"(0.7, 0.8]",430,0.7444493697674418,0.7558139534883721
2026,raw,"(0.8, 0.9]",210,0.8428627091428571,0.8857142857142857
2026,raw,"(0.9, 1.0]",39,0.913957631025641,0.9487179487179487
2025,calibrated,"(-0.001, 0.1]",16,0.0,0.0
2025,calibrated,"(0.1, 0.2]",452,0.16688499842177446,0.17699115044247787
2025,calibrated,"(0.2, 0.3]",791,0.259835437560676,0.2718078381795196
2025,calibrated,"(0.3, 0.4]",1274,0.3589489258127688,0.38304552590266877
2025,calibrated,"(0.4, 0.5]",1116,0.4363369024392184,0.4283154121863799
2025,calibrated,"(0.5, 0.6]",1896,0.5397014132169154,0.5516877637130801
2025,calibrated,"(0.6, 0.7]",1484,0.6488926047063234,0.6347708894878706
2025,calibrated,"(0.7, 0.8]",870,0.7502931329324515,0.7482758620689656
2025,calibrated,"(0.8, 0.9]",463,0.835287883947187,0.8250539956803455
2025,calibrated,"(0.9, 1.0]",190,0.9357919224152206,0.9368421052631579
2026,calibrated,"(-0.001, 0.1]",3,0.0,0.0
2026,calibrated,"(0.1, 0.2]",171,0.16706421469799967,0.14035087719298245
2026,calibrated,"(0.2, 0.3]",279,0.25616547989069993,0.2222222222222222
2026,calibrated,"(0.3, 0.4]",489,0.3593027985982258,0.2965235173824131
2026,calibrated,"(0.4, 0.5]",420,0.43582861161388625,0.45714285714285713
2026,calibrated,"(0.5, 0.6]",704,0.5393836939498982,0.5071022727272727
2026,calibrated,"(0.6, 0.7]",527,0.6490386615100878,0.6888045540796964
2026,calibrated,"(0.7, 0.8]",336,0.7507290903237118,0.7559523809523809
2026,calibrated,"(0.8, 0.9]",199,0.8354859785550374,0.8592964824120602
2026,calibrated,"(0.9, 1.0]",81,0.9407349968038035,0.9382716049382716
