year,ev_threshold,bet_count,hit_rate,avg_odds,mean_clv,roi,sample_flag,odds_bucket
2025,0.0,1830,0.652,1.471,0.0644,-0.0609,,favorite
2025,0.0,819,0.448,2.001,0.0842,-0.1088,,balanced
2025,0.0,2044,0.29,3.646,0.0909,-0.1139,,underdog
2025,0.01,1638,0.645,1.481,0.0714,-0.063,,favorite
2025,0.01,766,0.449,2.001,0.0897,-0.1085,,balanced
2025,0.01,1916,0.287,3.658,0.0967,-0.125,,underdog
2025,0.02,1433,0.639,1.494,0.0795,-0.0627,,favorite
2025,0.02,710,0.444,1.999,0.0957,-0.1192,,balanced
2025,0.02,1786,0.284,3.666,0.1026,-0.1376,,underdog
2025,0.03,1243,0.636,1.502,0.0878,-0.0632,,favorite
2025,0.03,659,0.451,2.0,0.1011,-0.1048,,balanced
2025,0.03,1662,0.289,3.683,0.1084,-0.1228,,underdog
2025,0.05,924,0.61,1.52,0.1044,-0.0885,,favorite
2025,0.05,531,0.45,2.005,0.1159,-0.1027,,balanced
2025,0.05,1374,0.288,3.669,0.1227,-0.1248,,underdog
2026,0.0,695,0.715,1.475,0.0634,0.0341,,favorite
2026,0.0,292,0.397,2.012,0.0927,-0.2048,,balanced
2026,0.0,840,0.236,3.693,0.0968,-0.283,,underdog
2026,0.01,618,0.714,1.484,0.0706,0.0406,,favorite
2026,0.01,272,0.393,2.017,0.0991,-0.2104,,balanced
2026,0.01,798,0.237,3.691,0.1016,-0.2945,,underdog
2026,0.02,528,0.705,1.492,0.0802,0.0359,,favorite
2026,0.02,256,0.391,2.019,0.1044,-0.2163,,balanced
2026,0.02,747,0.237,3.691,0.1075,-0.2906,,underdog
2026,0.03,464,0.698,1.499,0.0878,0.0319,,favorite
2026,0.03,240,0.4,2.019,0.1097,-0.1971,,balanced
2026,0.03,703,0.242,3.719,0.1126,-0.2732,,underdog
2026,0.05,354,0.686,1.515,0.1025,0.0274,,favorite
2026,0.05,200,0.405,2.012,0.1237,-0.1927,,balanced
2026,0.05,582,0.235,3.719,0.1278,-0.2878,,underdog
