year,ev_threshold,bet_count,hit_rate,avg_odds,mean_clv,roi,sample_flag,surface
2025,0.0,2270,0.452,2.498,0.0805,-0.0999,,Hard
2025,0.0,2326,0.468,2.528,0.0775,-0.0799,,Clay
2025,0.0,97,0.381,2.408,0.1011,-0.2124,,Grass
2025,0.01,2099,0.448,2.514,0.0866,-0.1094,,Hard
2025,0.01,2128,0.458,2.568,0.0842,-0.0823,,Clay
2025,0.01,93,0.376,2.426,0.1052,-0.2266,,Grass
2025,0.02,1906,0.441,2.548,0.0939,-0.1163,,Hard
2025,0.02,1938,0.446,2.6,0.091,-0.0943,,Clay
2025,0.02,85,0.388,2.494,0.1137,-0.1855,,Grass
2025,0.03,1710,0.441,2.588,0.1018,-0.1025,,Hard
2025,0.03,1775,0.442,2.636,0.0971,-0.0908,,Clay
2025,0.03,79,0.367,2.567,0.1205,-0.1935,,Grass
2025,0.05,1375,0.43,2.623,0.1169,-0.112,,Hard
2025,0.05,1388,0.421,2.687,0.1131,-0.1013,,Clay
2025,0.05,66,0.364,2.65,0.1366,-0.1996,,Grass
2026,0.0,1017,0.441,2.542,0.0819,-0.1489,,Hard
2026,0.0,810,0.447,2.63,0.0853,-0.1511,,Clay
2026,0.0,0,,,,,LOW_SAMPLE,Grass
2026,0.01,936,0.435,2.588,0.0886,-0.1557,,Hard
2026,0.01,752,0.439,2.645,0.0914,-0.1615,,Clay
2026,0.01,0,,,,,LOW_SAMPLE,Grass
2026,0.02,846,0.422,2.616,0.0964,-0.163,,Hard
2026,0.02,685,0.426,2.698,0.099,-0.1687,,Clay
2026,0.02,0,,,,,LOW_SAMPLE,Grass
2026,0.03,770,0.413,2.669,0.1034,-0.1633,,Hard
2026,0.03,637,0.427,2.73,0.1046,-0.1551,,Clay
2026,0.03,0,,,,,LOW_SAMPLE,Grass
2026,0.05,626,0.406,2.715,0.118,-0.1714,,Hard
2026,0.05,510,0.406,2.752,0.1207,-0.1746,,Clay
2026,0.05,0,,,,,LOW_SAMPLE,Grass
