month,bet_count,hit_rate,avg_odds,mean_calibrated_clv,roi,flag
2025-01,256,0.66,1.43,-0.017,-0.0758,
2025-02,324,0.685,1.387,-0.0398,-0.0701,
2025-03,452,0.69,1.391,-0.0245,-0.0716,
2025-04,403,0.697,1.416,-0.0356,-0.0304,
2025-05,288,0.705,1.388,-0.0297,-0.0449,
2025-06,433,0.63,1.409,-0.0338,-0.1375,
2025-07,402,0.684,1.399,-0.0246,-0.0682,
2025-08,331,0.686,1.398,-0.023,-0.0652,
2025-09,518,0.739,1.4,-0.0138,0.0191,
2025-10,388,0.66,1.406,-0.0282,-0.0987,
2025-11,455,0.756,1.38,-0.0273,0.02,
2026-01,320,0.7,1.42,-0.0354,-0.0291,
2026-02,395,0.724,1.403,-0.0167,-0.0057,
2026-03,481,0.703,1.374,-0.0305,-0.0656,
2026-04,424,0.736,1.404,-0.0221,0.0098,
