ev_threshold,surface,bet_count,hit_rate,avg_odds,mean_calibrated_clv,roi,flag
0.0,Hard,1184,0.689,1.435,0.0651,-0.0326,
0.0,Clay,1180,0.703,1.425,0.0642,-0.0221,
0.0,Grass,27,0.593,1.483,0.0448,-0.1856,
0.01,Hard,1035,0.687,1.436,0.074,-0.0354,
0.01,Clay,1026,0.7,1.427,0.0732,-0.0248,
0.01,Grass,22,0.591,1.484,0.0545,-0.1836,
0.02,Hard,911,0.684,1.453,0.0819,-0.0284,
0.02,Clay,926,0.697,1.436,0.0794,-0.0233,
0.02,Grass,19,0.579,1.489,0.0608,-0.199,
0.03,Hard,819,0.689,1.452,0.0884,-0.0233,
0.03,Clay,846,0.7,1.436,0.0846,-0.0188,
0.03,Grass,15,0.6,1.469,0.0707,-0.1863,
0.05,Hard,639,0.684,1.463,0.1031,-0.0223,
0.05,Clay,643,0.672,1.45,0.0995,-0.0467,
0.05,Grass,12,0.5,1.501,0.0786,-0.318,LOW_SAMPLE
0.07,Hard,454,0.681,1.47,0.1218,-0.0233,
0.07,Clay,420,0.667,1.469,0.1219,-0.0374,
0.07,Grass,6,0.333,1.6,0.0993,-0.4994,LOW_SAMPLE
0.1,Hard,258,0.663,1.502,0.15,-0.0242,
0.1,Clay,242,0.665,1.502,0.1494,-0.0116,
0.1,Grass,2,0.0,1.649,0.1297,-1.0,LOW_SAMPLE
