prob_source,wf_period,odds_bucket,bet_count,hit_rate,avg_odds,actual_win_rate,mean_model_prob,mean_market_prob,mean_clv,calibration_error,brier,log_loss,roi
raw_model,all,favorite,892,0.725336,1.386378,0.725336,0.672015,0.691349,-0.019334,0.053322,0.192866,0.567888,-0.020967
raw_model,all,balanced,264,0.450758,1.984969,0.450758,0.494982,0.468662,0.02632,0.044224,0.26092,0.716277,-0.114399
raw_model,all,underdog,556,0.233813,3.632812,0.233813,0.364451,0.29518,0.06927,0.130638,0.193617,0.57322,-0.297614
raw_model,train,favorite,487,0.704312,1.375056,0.704312,0.67369,0.698112,-0.024422,0.030622,0.192242,0.566776,-0.062386
raw_model,train,balanced,132,0.469697,1.996348,0.469697,0.503245,0.466355,0.03689,0.033548,0.263214,0.720713,-0.071586
raw_model,train,underdog,293,0.235495,3.687964,0.235495,0.363564,0.291438,0.072126,0.128069,0.191352,0.566727,-0.281883
raw_model,tune,favorite,215,0.772093,1.409781,0.772093,0.65887,0.677281,-0.018411,0.113223,0.190561,0.563772,0.069591
raw_model,tune,balanced,77,0.428571,1.972412,0.428571,0.489995,0.471349,0.018646,0.061424,0.250915,0.696447,-0.169189
raw_model,tune,underdog,139,0.215827,3.540803,0.215827,0.359579,0.295948,0.063631,0.143752,0.193354,0.576424,-0.32307
raw_model,final,favorite,190,0.726316,1.388915,0.726316,0.682594,0.689933,-0.007339,0.043722,0.197075,0.575397,-0.017278
raw_model,final,balanced,55,0.436364,1.97524,0.436364,0.48213,0.470435,0.011695,0.045767,0.269422,0.73339,-0.140441
raw_model,final,underdog,124,0.25,3.605632,0.25,0.372007,0.303164,0.068843,0.122007,0.199266,0.58497,-0.30625
artifact_model,all,favorite,892,0.725336,1.386378,0.725336,0.675983,0.691349,-0.015367,0.049354,0.190955,0.559816,-0.020967
artifact_model,all,balanced,264,0.450758,1.984969,0.450758,0.459117,0.468662,-0.009545,0.008359,0.259421,0.714395,-0.114399
artifact_model,all,underdog,556,0.233813,3.632812,0.233813,0.309023,0.29518,0.013842,0.07521,0.180437,0.541381,-0.297614
artifact_model,train,favorite,487,0.704312,1.375056,0.704312,0.677697,0.698112,-0.020416,0.026616,0.188676,0.556489,-0.062386
artifact_model,train,balanced,132,0.469697,1.996348,0.469697,0.469939,0.466355,0.003584,0.000242,0.264862,0.724994,-0.071586
artifact_model,train,underdog,293,0.235495,3.687964,0.235495,0.307451,0.291438,0.016013,0.071956,0.178793,0.534055,-0.281883
artifact_model,tune,favorite,215,0.772093,1.409781,0.772093,0.660436,0.677281,-0.016846,0.111657,0.189166,0.556128,0.069591
artifact_model,tune,balanced,77,0.428571,1.972412,0.428571,0.446213,0.471349,-0.025137,0.017642,0.244527,0.684734,-0.169189
artifact_model,tune,underdog,139,0.215827,3.540803,0.215827,0.30284,0.295948,0.006891,0.087012,0.176028,0.538821,-0.32307
artifact_model,final,favorite,190,0.726316,1.388915,0.726316,0.689182,0.689933,-0.000751,0.037134,0.198818,0.572519,-0.017278
artifact_model,final,balanced,55,0.436364,1.97524,0.436364,0.451209,0.470435,-0.019226,0.014845,0.267215,0.730484,-0.140441
artifact_model,final,underdog,124,0.25,3.605632,0.25,0.319669,0.303164,0.016505,0.069669,0.189265,0.561561,-0.30625
