prob_bin,bet_count,actual_win_rate,mean_model_prob,mean_market_prob,avg_odds,prob_source,wf_period,calibration_error
"[0.05, 0.1)",1,0.0,0.096448,0.063086,15.0,raw_model,all,0.096448
"[0.1, 0.15)",24,0.083333,0.128478,0.144558,7.472222,raw_model,all,0.045145
"[0.15, 0.2)",27,0.148148,0.183774,0.202655,5.354321,raw_model,all,0.035625
"[0.2, 0.25)",56,0.178571,0.222623,0.205629,5.192351,raw_model,all,0.044052
"[0.25, 0.3)",60,0.2,0.276937,0.279211,3.61375,raw_model,all,0.076937
"[0.3, 0.35)",88,0.170455,0.327259,0.294007,3.479508,raw_model,all,0.156804
"[0.35, 0.4)",92,0.217391,0.374209,0.316943,3.125634,raw_model,all,0.156817
"[0.4, 0.45)",76,0.289474,0.423996,0.327807,2.951206,raw_model,all,0.134522
"[0.45, 0.5)",52,0.326923,0.472651,0.348775,2.775385,raw_model,all,0.145728
"[0.5, 0.55)",32,0.25,0.518765,0.364979,2.594844,raw_model,all,0.268765
"[0.55, 0.6)",31,0.451613,0.572837,0.362141,2.601935,raw_model,all,0.121224
"[0.6, 0.65)",13,0.384615,0.620836,0.351498,2.723846,raw_model,all,0.236221
"[0.65, 0.7)",1,1.0,0.693051,0.337349,2.75,raw_model,all,0.306949
"[0.7, 0.75)",1,0.0,0.71166,0.392324,2.375,raw_model,all,0.71166
"[0.75, 0.8)",2,0.0,0.774018,0.28125,3.375,raw_model,all,0.774018
"[0.1, 0.15)",19,0.052632,0.129511,0.149739,7.359649,raw_model,train,0.076879
"[0.15, 0.2)",13,0.076923,0.184312,0.211741,5.101282,raw_model,train,0.107389
"[0.2, 0.25)",22,0.227273,0.224137,0.193429,5.441667,raw_model,train,0.003136
"[0.25, 0.3)",35,0.2,0.278818,0.27594,3.73119,raw_model,train,0.078818
"[0.3, 0.35)",46,0.173913,0.329537,0.281575,3.590471,raw_model,train,0.155624
"[0.35, 0.4)",51,0.215686,0.374178,0.313429,3.172451,raw_model,train,0.158492
"[0.4, 0.45)",37,0.297297,0.423621,0.339409,2.838468,raw_model,train,0.126324
"[0.45, 0.5)",27,0.37037,0.47355,0.346334,2.793148,raw_model,train,0.103179
"[0.5, 0.55)",16,0.25,0.517411,0.35585,2.658125,raw_model,train,0.267411
"[0.55, 0.6)",20,0.45,0.573432,0.355368,2.6515,raw_model,train,0.123432
"[0.6, 0.65)",6,0.333333,0.625121,0.330463,2.901667,raw_model,train,0.291787
"[0.75, 0.8)",1,0.0,0.778298,0.25,3.75,raw_model,train,0.778298
"[0.1, 0.15)",2,0.5,0.117881,0.117474,8.0,raw_model,tune,0.382119
"[0.15, 0.2)",6,0.166667,0.177638,0.18052,5.75,raw_model,tune,0.010971
"[0.2, 0.25)",22,0.136364,0.222563,0.222655,4.701364,raw_model,tune,0.086199
"[0.25, 0.3)",16,0.1875,0.270604,0.270813,3.552083,raw_model,tune,0.083104
"[0.3, 0.35)",22,0.136364,0.32168,0.300608,3.465227,raw_model,tune,0.185317
"[0.35, 0.4)",23,0.217391,0.377661,0.331838,3.006739,raw_model,tune,0.16027
"[0.4, 0.45)",19,0.315789,0.423314,0.316221,3.046754,raw_model,tune,0.107525
"[0.45, 0.5)",9,0.222222,0.469365,0.344151,2.903333,raw_model,tune,0.247142
"[0.5, 0.55)",11,0.181818,0.519139,0.376999,2.488636,raw_model,tune,0.337321
"[0.55, 0.6)",4,0.5,0.570134,0.338668,2.78125,raw_model,tune,0.070134
"[0.6, 0.65)",2,0.5,0.628964,0.346149,2.6875,raw_model,tune,0.128964
"[0.65, 0.7)",1,1.0,0.693051,0.337349,2.75,raw_model,tune,0.306949
"[0.7, 0.75)",1,0.0,0.71166,0.392324,2.375,raw_model,tune,0.71166
"[0.75, 0.8)",1,0.0,0.769737,0.3125,3.0,raw_model,tune,0.769737
"[0.05, 0.1)",1,0.0,0.096448,0.063086,15.0,raw_model,final,0.096448
"[0.1, 0.15)",3,0.0,0.129004,0.1298,7.833333,raw_model,final,0.129004
"[0.15, 0.2)",8,0.25,0.1875,0.204491,5.46875,raw_model,final,0.0625
"[0.2, 0.25)",12,0.166667,0.219958,0.19678,5.635417,raw_model,final,0.053292
"[0.25, 0.3)",9,0.222222,0.280885,0.30686,3.266667,raw_model,final,0.058663
"[0.3, 0.35)",20,0.2,0.328156,0.315342,3.24,raw_model,final,0.128156
"[0.35, 0.4)",18,0.222222,0.369883,0.307864,3.144907,raw_model,final,0.147661
"[0.4, 0.45)",20,0.25,0.425338,0.31735,3.069,raw_model,final,0.175338
"[0.45, 0.5)",16,0.3125,0.472983,0.355495,2.673438,raw_model,final,0.160483
"[0.5, 0.55)",5,0.4,0.522276,0.367747,2.626,raw_model,final,0.122276
"[0.55, 0.6)",7,0.428571,0.572681,0.394904,2.357857,raw_model,final,0.144109
"[0.6, 0.65)",5,0.4,0.612444,0.378881,2.525,raw_model,final,0.212444
"[0.0, 0.05)",3,0.0,0.0,0.087504,11.333333,artifact_model,all,0.0
"[0.05, 0.1)",19,0.052632,0.052632,0.147285,7.421053,artifact_model,all,0.0
"[0.1, 0.15)",50,0.14,0.132092,0.199901,5.484833,artifact_model,all,0.007908
"[0.15, 0.2)",51,0.156863,0.181818,0.227181,4.597157,artifact_model,all,0.024955
"[0.2, 0.25)",152,0.190789,0.243007,0.292643,3.474386,artifact_model,all,0.052217
"[0.3, 0.35)",106,0.226415,0.318585,0.319545,3.077374,artifact_model,all,0.09217
"[0.35, 0.4)",9,0.222222,0.363636,0.32234,3.037593,artifact_model,all,0.141414
"[0.4, 0.45)",117,0.333333,0.434978,0.349449,2.759017,artifact_model,all,0.101645
"[0.45, 0.5)",5,0.4,0.482759,0.352946,2.725,artifact_model,all,0.082759
"[0.6, 0.65)",39,0.435897,0.614291,0.357532,2.652436,artifact_model,all,0.178393
"[0.65, 0.7)",1,0.0,0.666667,0.337349,2.75,artifact_model,all,0.666667
"[0.75, 0.8)",4,0.25,0.757353,0.323043,2.96875,artifact_model,all,0.507353
"[0.0, 0.05)",2,0.0,0.0,0.099713,9.5,artifact_model,train,0.0
"[0.05, 0.1)",15,0.0,0.052632,0.152267,7.333333,artifact_model,train,0.052632
"[0.1, 0.15)",22,0.136364,0.13213,0.201008,5.468182,artifact_model,train,0.004234
"[0.15, 0.2)",22,0.181818,0.181818,0.21625,4.70303,artifact_model,train,0.0
"[0.2, 0.25)",89,0.179775,0.242939,0.286122,3.554082,artifact_model,train,0.063164
"[0.3, 0.35)",51,0.254902,0.320838,0.321719,3.068235,artifact_model,train,0.065936
"[0.35, 0.4)",6,0.333333,0.363636,0.321264,3.077222,artifact_model,train,0.030303
"[0.4, 0.45)",59,0.338983,0.434916,0.348947,2.751864,artifact_model,train,0.095933
"[0.45, 0.5)",1,1.0,0.482759,0.411215,2.25,artifact_model,train,0.517241
"[0.6, 0.65)",25,0.4,0.612819,0.347157,2.7276,artifact_model,train,0.212819
"[0.75, 0.8)",1,0.0,0.757353,0.25,3.75,artifact_model,train,0.757353
"[0.05, 0.1)",2,0.5,0.052632,0.117474,8.0,artifact_model,tune,0.447368
"[0.1, 0.15)",13,0.076923,0.130719,0.202547,5.082051,artifact_model,tune,0.053796
"[0.15, 0.2)",21,0.142857,0.181818,0.242698,4.356587,artifact_model,tune,0.038961
"[0.2, 0.25)",34,0.176471,0.241263,0.292512,3.483627,artifact_model,tune,0.064793
"[0.3, 0.35)",31,0.225806,0.317304,0.326184,3.032688,artifact_model,tune,0.091498
"[0.35, 0.4)",1,0.0,0.363636,0.268657,3.5,artifact_model,tune,0.363636
"[0.4, 0.45)",28,0.285714,0.435058,0.348472,2.786964,artifact_model,tune,0.149344
"[0.45, 0.5)",1,0.0,0.482759,0.337349,2.75,artifact_model,tune,0.482759
"[0.6, 0.65)",4,0.75,0.616439,0.343068,2.75,artifact_model,tune,0.133561
"[0.65, 0.7)",1,0.0,0.666667,0.337349,2.75,artifact_model,tune,0.666667
"[0.75, 0.8)",3,0.333333,0.757353,0.347391,2.708333,artifact_model,tune,0.42402
"[0.0, 0.05)",1,0.0,0.0,0.063086,15.0,artifact_model,final,0.0
"[0.05, 0.1)",2,0.0,0.052632,0.139727,7.5,artifact_model,final,0.052632
"[0.1, 0.15)",15,0.2,0.133224,0.195984,5.858333,artifact_model,final,0.066776
"[0.15, 0.2)",8,0.125,0.181818,0.216513,4.9375,artifact_model,final,0.056818
"[0.2, 0.25)",29,0.241379,0.245258,0.312809,3.218966,artifact_model,final,0.003879
"[0.3, 0.35)",24,0.166667,0.315452,0.306352,3.154514,artifact_model,final,0.148785
"[0.35, 0.4)",2,0.0,0.363636,0.352412,2.6875,artifact_model,final,0.363636
"[0.4, 0.45)",30,0.366667,0.435026,0.351348,2.747,artifact_model,final,0.068359
"[0.45, 0.5)",3,0.333333,0.482759,0.338721,2.875,artifact_model,final,0.149425
"[0.6, 0.65)",10,0.4,0.61711,0.389257,2.4255,artifact_model,final,0.21711
