odds_bin,bet_count,actual_win_rate,mean_model_prob,mean_market_prob,avg_odds,prob_source,wf_period
"[2.2, 3.0)",258,0.344961,0.428672,0.368537,2.53686,raw_model,all
"[3.0, 4.0)",157,0.178344,0.361757,0.285177,3.315287,raw_model,all
"[4.0, 6.0)",84,0.095238,0.284449,0.205617,4.611111,raw_model,all
"[6.0, 10.0)",46,0.108696,0.208209,0.131523,7.282609,raw_model,all
"[10.0, inf)",11,0.0,0.160905,0.085735,11.136364,raw_model,all
"[2.2, 3.0)",135,0.348148,0.427319,0.366198,2.552519,raw_model,train
"[3.0, 4.0)",80,0.2,0.371555,0.28146,3.358125,raw_model,train
"[4.0, 6.0)",47,0.042553,0.277964,0.204963,4.634752,raw_model,train
"[6.0, 10.0)",24,0.166667,0.209298,0.133156,7.208333,raw_model,train
"[10.0, inf)",7,0.0,0.146321,0.08696,10.928571,raw_model,train
"[2.2, 3.0)",60,0.3,0.427948,0.366914,2.548417,raw_model,tune
"[3.0, 4.0)",46,0.173913,0.345364,0.288687,3.273913,raw_model,tune
"[4.0, 6.0)",19,0.157895,0.285059,0.212059,4.45614,raw_model,tune
"[6.0, 10.0)",13,0.076923,0.207048,0.132644,7.192308,raw_model,tune
"[10.0, inf)",1,0.0,0.310108,0.088937,10.5,raw_model,tune
"[2.2, 3.0)",63,0.380952,0.43226,0.375095,2.492302,raw_model,final
"[3.0, 4.0)",31,0.129032,0.360796,0.289563,3.266129,raw_model,final
"[4.0, 6.0)",18,0.166667,0.300738,0.200526,4.712963,raw_model,final
"[6.0, 10.0)",9,0.0,0.206986,0.12555,7.611111,raw_model,final
"[10.0, inf)",3,0.0,0.1452,0.08181,11.833333,raw_model,final
"[2.2, 3.0)",258,0.344961,0.379232,0.368537,2.53686,artifact_model,all
"[3.0, 4.0)",157,0.178344,0.301759,0.285177,3.315287,artifact_model,all
"[4.0, 6.0)",84,0.095238,0.225425,0.205617,4.611111,artifact_model,all
"[6.0, 10.0)",46,0.108696,0.146413,0.131523,7.282609,artifact_model,all
"[10.0, inf)",11,0.0,0.084381,0.085735,11.136364,artifact_model,all
"[2.2, 3.0)",135,0.348148,0.378541,0.366198,2.552519,artifact_model,train
"[3.0, 4.0)",80,0.2,0.310849,0.28146,3.358125,artifact_model,train
"[4.0, 6.0)",47,0.042553,0.215689,0.204963,4.634752,artifact_model,train
"[6.0, 10.0)",24,0.166667,0.145269,0.133156,7.208333,artifact_model,train
"[10.0, inf)",7,0.0,0.069758,0.08696,10.928571,artifact_model,train
"[2.2, 3.0)",60,0.3,0.37235,0.366914,2.548417,artifact_model,tune
"[3.0, 4.0)",46,0.173913,0.287026,0.288687,3.273913,artifact_model,tune
"[4.0, 6.0)",19,0.157895,0.231173,0.212059,4.45614,artifact_model,tune
"[6.0, 10.0)",13,0.076923,0.14691,0.132644,7.192308,artifact_model,tune
"[10.0, inf)",1,0.0,0.248366,0.088937,10.5,artifact_model,tune
"[2.2, 3.0)",63,0.380952,0.387264,0.375095,2.492302,artifact_model,final
"[3.0, 4.0)",31,0.129032,0.300162,0.289563,3.266129,artifact_model,final
"[4.0, 6.0)",18,0.166667,0.244782,0.200526,4.712963,artifact_model,final
"[6.0, 10.0)",9,0.0,0.148742,0.12555,7.611111,artifact_model,final
"[10.0, inf)",3,0.0,0.06384,0.08181,11.833333,artifact_model,final
