date,tour,player_a,player_b,surface,edge,edge_tier,stake_eur,odds,result,pnl_eur,bankroll_after
2025-01-20,Challenger,Juan Bautista Torres,Federico Aguilar Cardozo,Clay,0.0321,Small,2.0,1.06,1,0.12,200.12
2025-02-03,Challenger,Sebastian Baez,Francesco Passaro,Clay,0.0307,Small,2.0,1.44,1,0.88,201.72
2025-02-03,Challenger,Juan Manuel Cerundolo,Juan Carlos Prado Angelo,Clay,0.0371,Small,2.0,1.36,1,0.72,201.72
2025-02-17,Challenger,Calvin Hemery,Maximus Jones,Clay,0.0402,Small,2.01,1.22,1,0.44,202.67
2025-02-17,Challenger,Geoffrey Blancaneaux,Paulo Andre Saraiva Dos Santos,Clay,0.0354,Small,2.01,1.25,1,0.5,202.67
2025-03-03,Challenger,Valerio Aboian,Carlos Maria Zarate,Clay,0.0399,Small,2.02,1.07,1,0.14,202.81
2025-03-10,Challenger,Daniel Elahi Galan,Matheus Pucinelli De Almeida,Clay,0.0371,Small,2.02,1.36,1,0.73,203.54
2025-03-17,Challenger,Thiago Monteiro,Remy Bertola,Clay,0.0402,Small,2.03,1.22,1,0.45,203.94
2025-03-17,Challenger,Joao Lucas Reis Da Silva,Alex Santino Nunez Vera,Clay,0.0336,Small,2.03,1.05,1,0.1,203.94
2025-03-17,Challenger,Patrick Maloney,Alan Fernando Rubio Fierros,Clay,0.0337,Small,2.03,1.33,1,0.67,203.94
2025-03-17,Challenger,Trey Hilderbrand,Diego Bustamante,Clay,0.0484,Small,2.03,1.01,1,0.03,203.94
2025-03-17,Challenger,David Jorda Sanchis,Eneko Rios Perez,Clay,0.0321,Small,2.03,1.06,1,0.13,203.94
2025-03-17,Challenger,Andrej Martin,Frane Nincevic,Clay,0.0489,Small,2.03,1.08,1,0.17,203.94
2025-03-17,Challenger,Damir Dzumhur,Luka Pavlovic,Clay,0.0426,Small,2.03,1.44,1,0.89,203.94
2025-03-17,Challenger,Marco Cecchinato,Josip Simundza,Clay,0.0489,Small,2.03,1.08,0,-2.03,203.94
2025-03-24,Challenger,Jesper De Jong,Filip Misolic,Clay,0.0336,Small,2.03,1.4,1,0.81,204.76
2025-03-31,Challenger,Sebastian Ofner,Vilius Gaubas,Clay,0.0307,Small,2.04,1.44,0,-2.04,203.29
2025-03-31,Challenger,Lukas Neumayer,Felipe Virgili Berini,Clay,0.0404,Small,2.04,1.03,1,0.06,203.29
2025-03-31,Challenger,Wilson Leite,Paul Valsecchi,Clay,0.0489,Small,2.04,1.08,1,0.17,203.29
2025-03-31,Challenger,Tomas Barrios Vera,Eduardo Ribeiro,Clay,0.0368,Small,2.04,1.17,1,0.35,203.29
2025-04-07,Challenger,Sumit Nagal,Federico Iannaccone,Clay,0.0377,Small,2.03,1.36,1,0.74,204.61
2025-04-07,Challenger,Marc Polmans,Blaise Bicknell,Clay,0.038,Small,2.03,1.4,0,-2.03,204.61
2025-04-07,Challenger,Tomas Barrios Vera,Genaro Alberto Olivieri,Clay,0.0336,Small,2.03,1.4,1,0.81,204.61
2025-04-07,Challenger,Gabi Adrian Boitan,Blaise Bicknell,Clay,0.038,Small,2.03,1.4,1,0.81,204.61
2025-04-07,Challenger,Inaki Montes De La Torre,Jack Satterfield,Clay,0.0489,Small,2.03,1.08,1,0.17,204.61
2025-04-07,Challenger,Marc Andrea Huesler,Aziz Dougaz,Clay,0.0336,Small,2.03,1.4,1,0.81,204.61
2025-04-14,Challenger,Zsombor Piros,Dino Molokova Ferreira,Clay,0.032,Small,2.04,1.0,1,0.01,204.62
2025-04-21,Challenger,Samuel Vincent Ruggeri,Jacopo Bilardo,Clay,0.0333,Small,2.04,1.14,1,0.29,204.19
2025-04-21,Challenger,Lukas Neumayer,Lukas Pokorny,Clay,0.0354,Small,2.04,1.25,1,0.51,204.19
2025-04-21,Challenger,Juan Sebastian Osorio,Tadeo Meneo,Clay,0.0333,Small,2.04,1.14,0,-2.04,204.19
2025-04-21,Challenger,Liam Draxl,Garrett Johns,Clay,0.0336,Small,2.04,1.4,1,0.82,204.19
2025-04-28,Challenger,Daniel Evans,Jan Jermar,Clay,0.0423,Small,2.04,1.06,1,0.12,204.38
2025-04-28,Challenger,Stefano Napolitano,Manuel Lazic,Clay,0.0398,Small,2.04,1.03,1,0.06,204.38
2025-04-29,Challenger,Arthur Rinderknech,Mark Lajal,Clay,0.0336,Small,2.04,1.4,1,0.82,203.15
2025-04-29,Challenger,Jaume Munar,Valentin Vacherot,Clay,0.0336,Small,2.04,1.4,0,-2.04,203.15
2025-05-05,Challenger,Daniel Rincon,Mees Rottgering,Clay,0.0332,Small,2.03,1.2,0,-2.03,203.38
2025-05-05,Challenger,Jose Pereira,Fermin Tenti,Clay,0.0319,Small,2.03,1.44,1,0.9,203.38
2025-05-05,Challenger,Nicolas Kicker,Lorenzo Joaquin Rodriguez,Clay,0.0437,Small,2.03,1.44,1,0.9,203.38
2025-05-05,Challenger,Samuel Vincent Ruggeri,Lorenzo Sciahbasi ,Clay,0.0449,Small,2.03,1.22,1,0.45,203.38
2025-05-12,Challenger,Zsombor Piros,Francesco Maestrelli,Clay,0.0337,Small,2.03,1.33,1,0.67,204.86
2025-05-12,Challenger,Harold Mayot,Milos Karol,Clay,0.038,Small,2.03,1.4,1,0.81,204.86
2025-05-13,Challenger,Carlos Sanchez Jover,Edoardo Zanada,Clay,0.0399,Small,2.04,1.07,1,0.15,205.01
2025-05-19,Challenger,Nerman Fatic,Amar Huseinovic,Clay,0.0371,Small,2.05,1.0,1,0.0,205.52
2025-05-19,Challenger,Marat Sharipov,Yanaki Milev,Clay,0.0354,Small,2.05,1.25,1,0.51,205.52
2025-06-02,Challenger,Hugo Dellien,Dimitar Kuzmanov,Clay,0.0426,Small,2.05,1.44,1,0.9,206.77
2025-06-02,Challenger,Zsombor Piros,Jonas Forejtek,Clay,0.0368,Small,2.05,1.17,1,0.35,206.77
2025-06-09,Challenger,Lorenzo Joaquin Rodriguez,Segundo Goity Zapico,Clay,0.0489,Small,2.06,1.08,1,0.17,206.94
2025-06-16,Challenger,Titouan Droguet,Luka Mikrut,Clay,0.0336,Small,2.06,1.4,1,0.82,208.74
2025-06-16,Challenger,Pedro Rodrigues,Carlos Maria Zarate,Clay,0.0354,Small,2.06,1.25,1,0.52,208.74
2025-06-16,Challenger,Lucas Gerch,Christopher Li,Clay,0.0449,Small,2.06,1.22,1,0.46,208.74
2025-06-23,Challenger,Genaro Alberto Olivieri,Blaise Bicknell,Clay,0.0354,Small,2.08,1.25,1,0.52,209.26
2025-06-30,Challenger,Norbert Gombos,Tristan Lamasine,Clay,0.0371,Small,2.09,1.36,1,0.75,209.68
2025-06-30,Challenger,David Jorda Sanchis,Arthur Nagel ,Clay,0.0437,Small,2.09,1.44,0,-2.09,209.68
2025-06-30,Challenger,Jacopo Berrettini,Thomas Faurel,Clay,0.0426,Small,2.09,1.44,1,0.92,209.68
2025-06-30,Challenger,Radu Albot,Tommaso Compagnucci,Clay,0.038,Small,2.09,1.4,1,0.84,209.68
