month,bet_count,hit_rate,stakes_eur,returns_eur,pnl_eur,roi,bankroll_end
2025-01,1,1.0,2.0,2.12,0.12,0.06,200.12
2025-02,4,1.0,8.02,10.56,2.54,0.32,202.67
2025-03,15,0.87,30.47,31.09,0.62,0.02,203.29
2025-04,15,0.8,30.54,30.4,-0.14,-0.0,203.15
2025-05,9,0.89,18.32,20.69,2.37,0.13,205.52
2025-06,11,0.91,22.78,26.94,4.16,0.18,209.68
2025-07,6,0.67,12.43,9.14,-3.29,-0.27,206.38
2025-08,4,0.75,8.18,7.32,-0.86,-0.1,205.53
2025-09,12,0.83,24.76,25.15,0.39,0.02,205.92
2025-10,6,1.0,12.38,15.5,3.12,0.25,209.05
2025-11,7,1.0,14.67,18.52,3.85,0.26,212.89
2026-01,4,0.75,8.42,8.82,0.4,0.05,213.29
2026-03,13,1.0,27.85,33.56,5.71,0.21,219.01
2026-04,15,0.87,32.85,33.69,0.84,0.03,219.84
