date,tour,player_a,player_b,surface,edge,edge_tier,stake_eur,odds,result,pnl_eur,bankroll_after
2025-01-06,Challenger,Jakub Paul,Keisuke Saitoh,Hard,0.0354,Small,2.0,1.25,1,0.5,200.19
2025-01-06,Challenger,Ricardas Berankis,Evgeny Karlovskiy,Hard,0.0336,Small,2.0,1.4,1,0.8,200.19
2025-01-06,Challenger,Ricardas Berankis,Tiago Pereira,Hard,0.0556,Medium,2.0,1.44,1,0.89,200.19
2025-01-06,Challenger,Christoph Negritu,Tiago Pereira,Hard,0.062,Medium,2.0,1.3,0,-2.0,200.19
2025-01-13,Challenger,Enrico Dalla Valle,Credit Chaiyarin,Hard,0.0489,Small,2.0,1.08,1,0.17,200.36
2025-01-20,Challenger,Facundo Mena,Joaquin  Aguilar Cardozo ,Clay,0.05,Medium,2.0,1.22,1,0.44,196.92
2025-01-20,Challenger,Juan Bautista Torres,Federico Aguilar Cardozo,Clay,0.0321,Small,2.0,1.06,1,0.12,196.92
2025-01-20,Challenger,Mackenzie Mcdonald,Sascha Gueymard Wayenburg,Hard,0.0547,Medium,2.0,1.29,0,-2.0,196.92
2025-01-20,Challenger,Laslo Djere,Sascha Gueymard Wayenburg,Hard,0.0337,Small,2.0,1.33,0,-2.0,196.92
2025-01-27,Challenger,Federico Coria,Facundo Mena,Clay,0.0501,Medium,1.96,1.44,0,-1.96,189.12
2025-01-27,Challenger,Daniel Elahi Galan,Valerio Aboian,Clay,0.0565,Medium,1.96,1.25,1,0.49,189.12
2025-01-27,Challenger,Luciano Emanuel Ambrogi,Enzo Camargo Lima,Clay,0.061,Medium,1.96,1.02,1,0.04,189.12
2025-01-27,Challenger,Illya Marchenko,Joshua Charlton,Hard,0.062,Medium,1.96,1.3,1,0.59,189.12
2025-01-27,Challenger,Adam Walton,Andre Ilagan,Hard,0.0354,Small,1.96,1.25,1,0.49,189.12
2025-01-27,Challenger,Rinky Hijikata,James Mccabe,Hard,0.0307,Small,1.96,1.44,0,-1.96,189.12
2025-01-27,Challenger,Radu Albot,Kaylan Bigun,Hard,0.05,Medium,1.96,1.22,0,-1.96,189.12
2025-01-27,Challenger,Strong Kirchheimer,Nathan Ponwith,Hard,0.0336,Small,1.96,1.4,0,-1.96,189.12
2025-01-27,Challenger,Maxwell Mckennon,Pranav Kumar,Hard,0.0354,Small,1.96,1.25,0,-1.96,189.12
2025-01-27,Challenger,James Trotter,Filip Pieczonka,Hard,0.0641,Medium,1.96,1.2,1,0.39,189.12
2025-02-03,Challenger,Sebastian Baez,Emilio Nava,Clay,0.0758,Medium,1.57,1.33,1,0.52,186.7
2025-02-03,Challenger,Sebastian Baez,Francesco Passaro,Clay,0.0307,Small,1.57,1.44,1,0.69,186.7
2025-02-03,Challenger,Juan Manuel Cerundolo,Juan Carlos Prado Angelo,Clay,0.0371,Small,1.57,1.36,1,0.57,186.7
2025-02-03,Challenger,Adam Walton,Govind Nanda,Hard,0.0547,Medium,1.57,1.29,1,0.46,186.7
2025-02-03,Challenger,Kimmer Coppejans,Siddharth Vishwakarma,Hard,0.0332,Small,1.57,1.2,1,0.31,186.7
2025-02-03,Challenger,Luca Castelnuovo,Manish Sureshkumar,Hard,0.0512,Medium,1.57,1.44,0,-1.57,186.7
2025-02-03,Challenger,Zsombor Piros,Oleksandr Ovcharenko,Hard,0.0371,Small,1.57,1.36,0,-1.57,186.7
2025-02-03,Challenger,Lucas Pouille,Valentin Royer,Hard,0.0426,Small,1.57,1.44,1,0.69,186.7
2025-02-03,Challenger,Daniel Masur,Lucas Marionneau,Hard,0.0531,Medium,1.57,1.17,0,-1.57,186.7
2025-02-03,Challenger,Benjamin Bonzi,Arthur Bouquier,Hard,0.0368,Small,1.57,1.17,0,-1.57,186.7
2025-02-03,Challenger,Gastao Elias,Dhruva Mulye,Hard,0.0371,Small,1.57,1.0,1,0.0,186.7
2025-02-03,Challenger,Giovanni Fonio,Arthur Reymond,Hard,0.038,Small,1.57,1.4,1,0.63,186.7
2025-02-10,Challenger,Christoph Negritu,Pablo Masjuan Ginel,Hard,0.0531,Medium,1.86,1.17,1,0.31,186.59
2025-02-10,Challenger,Dominik Koepfer,Filip Misolic,Hard,0.0758,Medium,1.86,1.33,0,-1.86,186.59
2025-02-10,Challenger,Rei Sakamoto,Alejo Sanchez Quilez,Hard,0.0763,Medium,1.86,1.33,1,0.62,186.59
2025-02-10,Challenger,Tristan Schoolkate,Andre Ilagan,Hard,0.0501,Medium,1.86,1.44,1,0.82,186.59
2025-02-17,Challenger,Calvin Hemery,Maximus Jones,Clay,0.0402,Small,1.86,1.22,1,0.41,188.5
2025-02-17,Challenger,Geoffrey Blancaneaux,Paulo Andre Saraiva Dos Santos,Clay,0.0354,Small,1.86,1.25,1,0.47,188.5
2025-02-17,Challenger,Geoffrey Blancaneaux,Dinko Dinev,Clay,0.0734,Medium,1.86,1.13,1,0.24,188.5
2025-02-17,Challenger,Eliakim Coulibaly,Dinko Dinev,Clay,0.0501,Medium,1.86,1.17,0,-1.86,188.5
2025-02-17,Challenger,Kimmer Coppejans,Ramkumar Ramanathan,Hard,0.0763,Medium,1.86,1.33,1,0.62,188.5
2025-02-17,Challenger,Constant Lestienne,Henry Searle,Hard,0.0501,Medium,1.86,1.44,1,0.82,188.5
