month,bet_count,hit_rate,stakes_eur,returns_eur,pnl_eur,roi,bankroll_end
2025-01,19,0.58,37.6,26.72,-10.88,-0.29,189.12
2025-02,29,0.79,50.56,52.45,1.89,0.04,191.01
2025-03,42,0.79,78.56,74.48,-4.08,-0.05,186.93
2025-04,36,0.78,62.08,60.44,-1.64,-0.03,185.29
2025-05,28,0.75,51.84,48.53,-3.31,-0.06,181.98
2025-06,36,0.81,52.79,53.35,0.56,0.01,182.54
2025-07,31,0.81,55.96,55.0,-0.96,-0.02,181.57
2025-08,25,0.84,45.66,48.09,2.43,0.05,184.0
2025-09,56,0.75,81.16,77.63,-3.53,-0.04,180.47
2025-10,34,0.71,57.63,50.78,-6.85,-0.12,173.62
2025-11,35,0.91,50.88,58.25,7.37,0.14,180.99
2026-01,25,0.68,43.82,38.26,-5.56,-0.13,175.43
2026-02,30,0.9,49.92,56.22,6.3,0.13,181.72
2026-03,45,0.84,78.07,79.4,1.33,0.02,183.05
2026-04,43,0.81,63.17,61.88,-1.29,-0.02,181.76
