month,bet_count,hit_rate,stakes_eur,returns_eur,pnl_eur,roi,bankroll_end
2025-01,228,0.42,563.98,445.26,-118.72,-0.21,81.28
2025-02,241,0.46,304.98,305.34,0.36,0.0,81.64
2025-03,275,0.43,310.35,252.52,-57.83,-0.19,23.81
2025-04,265,0.51,114.22,118.22,4.0,0.04,27.81
2025-05,235,0.44,130.01,125.78,-4.23,-0.03,23.57
2025-06,302,0.39,76.11,59.25,-16.86,-0.22,6.71
2025-07,293,0.42,19.69,15.65,-4.04,-0.21,2.67
2025-08,250,0.43,9.53,8.2,-1.33,-0.14,1.34
2025-09,285,0.43,3.95,3.13,-0.82,-0.21,0.53
2025-10,17,0.53,0.24,0.25,0.01,0.05,0.54
