prob_bin,row_count,actual_win_rate,mean_specialist_prob,mean_market_prob,avg_odds,wf_period
"[0.15, 0.2)",2,0.0,0.19213,0.337349,2.75,tune
"[0.2, 0.25)",15,0.2,0.23204,0.34557,2.743679,tune
"[0.25, 0.3)",25,0.4,0.273509,0.35611,2.672635,tune
"[0.3, 0.35)",42,0.547619,0.32544,0.370822,2.577157,tune
"[0.35, 0.4)",30,0.366667,0.374183,0.395793,2.410065,tune
"[0.4, 0.45)",26,0.346154,0.417188,0.400006,2.387895,tune
"[0.45, 0.5)",17,0.294118,0.468914,0.410654,2.337156,tune
"[0.5, 0.55)",11,0.727273,0.52372,0.407952,2.335588,tune
"[0.55, 0.6)",14,0.642857,0.574138,0.410067,2.268929,tune
"[0.6, 0.65)",2,0.5,0.63328,0.424084,2.2,tune
"[0.2, 0.25)",31,0.258065,0.23005,0.343106,2.709677,final
"[0.25, 0.3)",43,0.325581,0.274833,0.351405,2.651744,final
"[0.3, 0.35)",55,0.254545,0.324541,0.362275,2.588536,final
"[0.35, 0.4)",56,0.357143,0.376065,0.39432,2.384676,final
"[0.4, 0.45)",55,0.290909,0.423696,0.400567,2.338655,final
"[0.45, 0.5)",33,0.424242,0.472542,0.406908,2.304433,final
"[0.5, 0.55)",14,0.357143,0.523883,0.406949,2.284643,final
"[0.55, 0.6)",21,0.47619,0.575456,0.404272,2.304048,final
"[0.6, 0.65)",4,0.75,0.621592,0.417246,2.225,final
"[0.15, 0.2)",9,0.0,0.19401,0.337624,2.795215,all
"[0.2, 0.25)",94,0.212766,0.228535,0.345039,2.754024,all
"[0.25, 0.3)",145,0.310345,0.277142,0.357847,2.656293,all
"[0.3, 0.35)",170,0.323529,0.325239,0.373459,2.553397,all
"[0.35, 0.4)",156,0.391026,0.375446,0.400354,2.392359,all
"[0.4, 0.45)",139,0.330935,0.422604,0.40556,2.350933,all
"[0.45, 0.5)",82,0.47561,0.470004,0.405373,2.333587,all
"[0.5, 0.55)",37,0.432432,0.523885,0.40537,2.318836,all
"[0.55, 0.6)",44,0.613636,0.576158,0.40676,2.288295,all
"[0.6, 0.65)",7,0.714286,0.622417,0.415494,2.24,all
