candidate,wf_period,shrinkage_factor,edge_threshold,bet_count,hit_rate,avg_odds,mean_prob,mean_market_prob,mean_edge,roi,calibration_error,log_loss
near_dog_market_only,tune,0.25,0.0,67,0.477612,2.360277,0.429805,0.401644,0.028161,0.124724,0.047807,0.690912
near_dog_market_only,tune,0.25,0.01,48,0.520833,2.359409,0.436699,0.399501,0.037198,0.218169,0.084135,0.693499
near_dog_market_only,tune,0.25,0.02,35,0.6,2.376219,0.440939,0.395311,0.045628,0.402791,0.159061,0.708187
near_dog_market_only,tune,0.25,0.03,28,0.607143,2.355179,0.447513,0.396619,0.050894,0.415357,0.15963,0.712788
near_dog_market_only,tune,0.25,0.05,17,0.647059,2.307059,0.461695,0.40434,0.057355,0.491765,0.185364,0.720625
near_dog_market_only,tune,0.25,0.07,0,,,,,,,,
near_dog_market_only,tune,0.25,0.1,0,,,,,,,,
near_dog_market_only,tune,0.5,0.0,67,0.477612,2.360277,0.457965,0.401644,0.056322,0.124724,0.019647,0.679881
near_dog_market_only,tune,0.5,0.01,60,0.466667,2.358016,0.4643,0.401858,0.062443,0.096065,0.002366,0.671624
near_dog_market_only,tune,0.5,0.02,48,0.520833,2.359409,0.473896,0.399501,0.074395,0.218169,0.046937,0.676733
near_dog_market_only,tune,0.5,0.03,40,0.575,2.369416,0.482579,0.398534,0.084046,0.349303,0.092421,0.687297
near_dog_market_only,tune,0.5,0.05,31,0.580645,2.363548,0.492746,0.395454,0.097291,0.349355,0.087899,0.67681
near_dog_market_only,tune,0.5,0.07,27,0.62963,2.345185,0.501455,0.398162,0.103293,0.467778,0.128175,0.689235
near_dog_market_only,tune,0.5,0.1,17,0.647059,2.307059,0.51905,0.40434,0.11471,0.491765,0.128009,0.685279
near_dog_market_only,tune,0.75,0.0,67,0.477612,2.360277,0.486126,0.401644,0.084482,0.124724,0.008514,0.673809
near_dog_market_only,tune,0.75,0.01,60,0.466667,2.358016,0.495522,0.401858,0.093664,0.096065,0.028855,0.665007
near_dog_market_only,tune,0.75,0.02,55,0.472727,2.351966,0.502906,0.402355,0.100551,0.106402,0.030179,0.663822
near_dog_market_only,tune,0.75,0.03,48,0.520833,2.359409,0.511094,0.399501,0.111593,0.218169,0.00974,0.666836
near_dog_market_only,tune,0.75,0.05,38,0.578947,2.377163,0.526831,0.396642,0.130188,0.361255,0.052117,0.673739
near_dog_market_only,tune,0.75,0.07,32,0.5625,2.371875,0.537779,0.394153,0.143626,0.307188,0.024721,0.658493
near_dog_market_only,tune,0.75,0.1,27,0.62963,2.345185,0.553101,0.398162,0.154939,0.467778,0.076528,0.668385
near_dog_market_only,tune,1.0,0.0,67,0.477612,2.360277,0.514287,0.401644,0.112643,0.124724,0.036675,0.672692
near_dog_market_only,tune,1.0,0.01,61,0.459016,2.355426,0.525236,0.402211,0.123025,0.078096,0.066219,0.66239
near_dog_market_only,tune,1.0,0.02,60,0.466667,2.358016,0.526743,0.401858,0.124885,0.096065,0.060076,0.663921
near_dog_market_only,tune,1.0,0.03,53,0.471698,2.353361,0.540462,0.4024,0.138062,0.103248,0.068764,0.660317
near_dog_market_only,tune,1.0,0.05,45,0.555556,2.368925,0.553846,0.398153,0.155693,0.29938,0.001709,0.666353
near_dog_market_only,tune,1.0,0.07,36,0.583333,2.371569,0.57631,0.396906,0.179404,0.363824,0.007023,0.6619
near_dog_market_only,tune,1.0,0.1,31,0.580645,2.363548,0.590037,0.395454,0.194583,0.349355,0.009392,0.656858
near_dog_logit_all,tune,0.25,0.0,92,0.434783,2.409363,0.426385,0.395443,0.030942,0.035224,0.008398,0.679468
near_dog_logit_all,tune,0.25,0.01,70,0.457143,2.399312,0.435611,0.396645,0.038966,0.082464,0.021532,0.685977
near_dog_logit_all,tune,0.25,0.02,47,0.468085,2.394113,0.447098,0.396207,0.050891,0.096644,0.020987,0.682262
near_dog_logit_all,tune,0.25,0.03,39,0.487179,2.379383,0.454936,0.39874,0.056196,0.13692,0.032244,0.690793
near_dog_logit_all,tune,0.25,0.05,25,0.48,2.346376,0.468253,0.402784,0.065469,0.098396,0.011747,0.680866
near_dog_logit_all,tune,0.25,0.07,7,0.571429,2.327143,0.48312,0.400939,0.082181,0.297143,0.088309,0.695021
near_dog_logit_all,tune,0.25,0.1,1,0.0,2.38,0.508431,0.391304,0.117127,-1.0,0.508431,0.710153
near_dog_logit_all,tune,0.5,0.0,92,0.434783,2.409363,0.457327,0.395443,0.061884,0.035224,0.022544,0.68072
near_dog_logit_all,tune,0.5,0.01,83,0.445783,2.403837,0.464388,0.39637,0.068018,0.055548,0.018605,0.683053
near_dog_logit_all,tune,0.5,0.02,70,0.457143,2.399312,0.474577,0.396645,0.077932,0.082464,0.017434,0.687732
near_dog_logit_all,tune,0.5,0.03,58,0.431034,2.394044,0.486163,0.39703,0.089134,0.017043,0.055129,0.679675
near_dog_logit_all,tune,0.5,0.05,44,0.477273,2.389112,0.502355,0.396664,0.10569,0.11568,0.025082,0.688053
near_dog_logit_all,tune,0.5,0.07,34,0.529412,2.358838,0.519754,0.400272,0.119482,0.226762,0.009658,0.696086
near_dog_logit_all,tune,0.5,0.1,25,0.48,2.346376,0.533722,0.402784,0.130937,0.098396,0.053722,0.691257
near_dog_logit_all,tune,0.75,0.0,92,0.434783,2.409363,0.488269,0.395443,0.092826,0.035224,0.053486,0.688843
near_dog_logit_all,tune,0.75,0.01,87,0.448276,2.411246,0.492777,0.39487,0.097906,0.067362,0.044501,0.694422
near_dog_logit_all,tune,0.75,0.02,78,0.461538,2.402441,0.503879,0.396381,0.107498,0.095006,0.04234,0.699359
near_dog_logit_all,tune,0.75,0.03,70,0.457143,2.399312,0.513543,0.396645,0.116898,0.082464,0.0564,0.698469
near_dog_logit_all,tune,0.75,0.05,56,0.428571,2.389527,0.533794,0.396971,0.136823,0.005219,0.105222,0.691719
near_dog_logit_all,tune,0.75,0.07,45,0.488889,2.390518,0.553581,0.396911,0.15667,0.145384,0.064692,0.704056
near_dog_logit_all,tune,0.75,0.1,35,0.514286,2.354741,0.578725,0.401732,0.176993,0.191711,0.064439,0.713277
near_dog_logit_all,tune,1.0,0.0,92,0.434783,2.409363,0.519211,0.395443,0.123768,0.035224,0.084428,0.705708
near_dog_logit_all,tune,1.0,0.01,88,0.443182,2.415096,0.523417,0.394217,0.1292,0.055233,0.080235,0.708943
near_dog_logit_all,tune,1.0,0.02,83,0.445783,2.403837,0.532406,0.39637,0.136035,0.055548,0.086622,0.710751
near_dog_logit_all,tune,1.0,0.03,77,0.454545,2.402797,0.54124,0.396434,0.144806,0.078383,0.086694,0.717108
near_dog_logit_all,tune,1.0,0.05,61,0.42623,2.394428,0.569847,0.397751,0.172096,0.003454,0.143618,0.717375
near_dog_logit_all,tune,1.0,0.07,55,0.436364,2.385155,0.582259,0.397755,0.184503,0.023496,0.145895,0.723987
near_dog_logit_all,tune,1.0,0.1,44,0.477273,2.389112,0.608045,0.396664,0.211381,0.11568,0.130772,0.736527
near_dog_logit_no_rank,tune,0.25,0.0,88,0.488636,2.421927,0.424131,0.393177,0.030954,0.173717,0.064505,0.702835
near_dog_logit_no_rank,tune,0.25,0.01,65,0.476923,2.389282,0.438041,0.397744,0.040297,0.122448,0.038882,0.688277
near_dog_logit_no_rank,tune,0.25,0.02,52,0.5,2.364449,0.447362,0.400875,0.046487,0.167218,0.052638,0.69594
near_dog_logit_no_rank,tune,0.25,0.03,39,0.538462,2.358663,0.454211,0.400362,0.05385,0.257494,0.08425,0.705301
near_dog_logit_no_rank,tune,0.25,0.05,19,0.473684,2.312342,0.474854,0.406554,0.0683,0.081053,0.00117,0.693097
near_dog_logit_no_rank,tune,0.25,0.07,6,0.5,2.34,0.484917,0.399263,0.085653,0.138333,0.015083,0.688657
near_dog_logit_no_rank,tune,0.25,0.1,1,0.0,2.38,0.50513,0.391304,0.113826,-1.0,0.50513,0.70346
near_dog_logit_no_rank,tune,0.5,0.0,88,0.488636,2.421927,0.455085,0.393177,0.061909,0.173717,0.033551,0.70117
near_dog_logit_no_rank,tune,0.5,0.01,76,0.5,2.401104,0.467112,0.39606,0.071052,0.187856,0.032888,0.699311
near_dog_logit_no_rank,tune,0.5,0.02,65,0.476923,2.389282,0.478337,0.397744,0.080593,0.122448,0.001414,0.687128
near_dog_logit_no_rank,tune,0.5,0.03,60,0.466667,2.386115,0.483034,0.397924,0.085111,0.090292,0.016368,0.6797
near_dog_logit_no_rank,tune,0.5,0.05,44,0.477273,2.367054,0.501025,0.399327,0.101698,0.114597,0.023752,0.6875
near_dog_logit_no_rank,tune,0.5,0.07,35,0.514286,2.358014,0.513151,0.400328,0.112822,0.198997,0.001135,0.696983
near_dog_logit_no_rank,tune,0.5,0.1,19,0.473684,2.312342,0.543154,0.406554,0.1366,0.081053,0.06947,0.705636
near_dog_logit_no_rank,tune,0.75,0.0,88,0.488636,2.421927,0.48604,0.393177,0.092863,0.173717,0.002597,0.706262
near_dog_logit_no_rank,tune,0.75,0.01,78,0.487179,2.402037,0.499894,0.395724,0.10417,0.157399,0.012715,0.700034
near_dog_logit_no_rank,tune,0.75,0.02,71,0.492958,2.395689,0.510274,0.39742,0.112854,0.167565,0.017316,0.701758
near_dog_logit_no_rank,tune,0.75,0.03,65,0.476923,2.389282,0.518634,0.397744,0.12089,0.122448,0.041711,0.695077
near_dog_logit_no_rank,tune,0.75,0.05,57,0.491228,2.373454,0.53213,0.400165,0.131964,0.147676,0.040902,0.698329
near_dog_logit_no_rank,tune,0.75,0.07,46,0.478261,2.359791,0.549471,0.400404,0.149068,0.113963,0.071211,0.700295
near_dog_logit_no_rank,tune,0.75,0.1,36,0.527778,2.358486,0.567426,0.400106,0.16732,0.231664,0.039648,0.710237
near_dog_logit_no_rank,tune,1.0,0.0,88,0.488636,2.421927,0.516994,0.393177,0.123817,0.173717,0.028358,0.719753
near_dog_logit_no_rank,tune,1.0,0.01,81,0.481481,2.403661,0.530105,0.395913,0.134192,0.145396,0.048623,0.714273
near_dog_logit_no_rank,tune,1.0,0.02,76,0.5,2.401104,0.538164,0.39606,0.142104,0.187856,0.038164,0.720763
near_dog_logit_no_rank,tune,1.0,0.03,70,0.485714,2.395459,0.549402,0.397174,0.152227,0.14979,0.063687,0.717378
near_dog_logit_no_rank,tune,1.0,0.05,65,0.476923,2.389282,0.55893,0.397744,0.161186,0.122448,0.082007,0.714346
near_dog_logit_no_rank,tune,1.0,0.07,55,0.509091,2.361944,0.582002,0.40215,0.179852,0.18941,0.072911,0.726415
near_dog_logit_no_rank,tune,1.0,0.1,44,0.477273,2.367054,0.602723,0.399327,0.203395,0.114597,0.12545,0.730147
near_dog_logit_no_elo,tune,0.25,0.0,94,0.43617,2.410509,0.423887,0.394833,0.029054,0.042452,0.012283,0.682817
near_dog_logit_no_elo,tune,0.25,0.01,67,0.432836,2.396146,0.436027,0.396908,0.039119,0.016578,0.003192,0.672127
near_dog_logit_no_elo,tune,0.25,0.02,49,0.44898,2.398537,0.443275,0.395262,0.048013,0.051883,0.005705,0.674478
near_dog_logit_no_elo,tune,0.25,0.03,38,0.526316,2.359893,0.45549,0.40044,0.055049,0.22605,0.070826,0.703107
near_dog_logit_no_elo,tune,0.25,0.05,22,0.5,2.324973,0.472303,0.406802,0.065501,0.139995,0.027697,0.687021
near_dog_logit_no_elo,tune,0.25,0.07,5,0.4,2.368,0.481135,0.394299,0.086836,-0.074,0.081135,0.688113
near_dog_logit_no_elo,tune,0.25,0.1,1,0.0,2.38,0.511611,0.391304,0.120307,-1.0,0.511611,0.716644
near_dog_logit_no_elo,tune,0.5,0.0,94,0.43617,2.410509,0.452942,0.394833,0.058109,0.042452,0.016771,0.68338
near_dog_logit_no_elo,tune,0.5,0.01,75,0.466667,2.398135,0.46796,0.396327,0.071633,0.100943,0.001293,0.68922
near_dog_logit_no_elo,tune,0.5,0.02,67,0.432836,2.396146,0.475147,0.396908,0.078239,0.016578,0.042311,0.674117
near_dog_logit_no_elo,tune,0.5,0.03,57,0.45614,2.396135,0.484004,0.396457,0.087547,0.073482,0.027863,0.68286
near_dog_logit_no_elo,tune,0.5,0.05,42,0.5,2.374606,0.503185,0.398493,0.104692,0.168807,0.003185,0.694455
near_dog_logit_no_elo,tune,0.5,0.07,35,0.542857,2.355728,0.514537,0.400578,0.113959,0.255997,0.02832,0.696947
near_dog_logit_no_elo,tune,0.5,0.1,22,0.5,2.324973,0.537803,0.406802,0.131001,0.139995,0.037803,0.693959
near_dog_logit_no_elo,tune,0.75,0.0,94,0.43617,2.410509,0.481996,0.394833,0.087163,0.042452,0.045826,0.690379
near_dog_logit_no_elo,tune,0.75,0.01,79,0.443038,2.40573,0.498152,0.395532,0.10262,0.045199,0.055114,0.687795
near_dog_logit_no_elo,tune,0.75,0.02,75,0.466667,2.398135,0.503777,0.396327,0.10745,0.100943,0.03711,0.697788
near_dog_logit_no_elo,tune,0.75,0.03,67,0.432836,2.396146,0.514266,0.396908,0.117358,0.016578,0.08143,0.685083
near_dog_logit_no_elo,tune,0.75,0.05,54,0.444444,2.395017,0.531791,0.395889,0.135902,0.04245,0.087346,0.691435
near_dog_logit_no_elo,tune,0.75,0.07,43,0.511628,2.376414,0.553802,0.398709,0.155093,0.198658,0.042174,0.707524
near_dog_logit_no_elo,tune,0.75,0.1,36,0.555556,2.363347,0.568294,0.399279,0.169014,0.294164,0.012738,0.710037
near_dog_logit_no_elo,tune,1.0,0.0,94,0.43617,2.410509,0.51105,0.394833,0.116218,0.042452,0.07488,0.705839
near_dog_logit_no_elo,tune,1.0,0.01,87,0.448276,2.413276,0.51996,0.394611,0.125349,0.06742,0.071684,0.709007
near_dog_logit_no_elo,tune,1.0,0.02,75,0.466667,2.398135,0.539593,0.396327,0.143266,0.100943,0.072927,0.716954
near_dog_logit_no_elo,tune,1.0,0.03,73,0.452055,2.401098,0.542432,0.396015,0.146417,0.068366,0.090377,0.713834
